,0,1,2,3
164636,0.446,0.372,0.372,0.357
164939,0.259,0.330,0.316,0.322
165032,0.455,0.325,0.316,0.268
165436,0.256,0.273,0.256,0.301
165638,0.278,0.290,0.238,0.255
165941,0.414,0.346,0.347,0.301
166438,0.282,0.263,0.267,0.238
166640,0.283,0.318,0.255,0.249
167036,0.289,0.279,0.273,0.291
167238,0.396,0.268,0.259,0.299
167440,0.353,0.336,0.293,0.312
168139,0.276,0.286,0.268,0.290
168240,0.301,0.301,0.391,0.352
168341,0.289,0.236,0.285,0.249
168745,0.256,0.248,0.245,0.273
168947,0.303,0.252,0.264,0.261
169040,0.240,0.266,0.246,0.211
169444,0.271,0.300,0.290,0.268
169545,0.249,0.289,0.271,0.277
169949,0.330,0.371,0.350,0.399
170631,0.274,0.333,0.444,0.413
171330,0.268,0.322,0.251,0.281
171532,0.493,0.367,0.397,0.568
171633,0.340,0.291,0.305,0.286
172029,0.274,0.268,0.316,0.274
172130,0.306,0.314,0.288,0.269
172433,0.264,0.253,0.295,0.290
172534,0.350,0.302,0.234,0.243
172938,0.407,0.365,0.389,0.343
173334,0.233,0.272,0.244,0.248
173435,0.275,0.259,0.274,0.279
173536,0.281,0.290,0.264,0.271
173637,0.265,0.326,0.322,0.259
173738,0.270,0.302,0.350,0.311
173839,0.249,0.256,0.251,0.285
173940,0.250,0.302,0.233,0.320
174841,0.287,0.358,0.272,0.332
175035,0.258,0.263,0.244,0.253
175136,0.307,0.298,0.324,0.332
175237,0.318,0.266,0.304,0.290
175338,0.223,0.309,0.240,0.285
175540,0.250,0.283,0.259,0.255
175742,0.327,0.348,0.279,0.285
176037,0.389,0.352,0.343,0.297
176239,0.315,0.328,0.315,0.395
176441,0.262,0.216,0.245,0.272
176744,0.233,0.279,0.240,0.271
176845,0.329,0.338,0.366,0.338
177140,0.301,0.295,0.255,0.262
177241,0.261,0.270,0.338,0.336
177645,0.287,0.285,0.246,0.232
178142,0.298,0.322,0.259,0.295
178243,0.293,0.296,0.244,0.228
178647,0.396,0.345,0.387,0.405
178748,0.251,0.222,0.227,0.283
178849,0.299,0.298,0.299,0.357
178950,0.332,0.277,0.272,0.252
179245,0.316,0.384,0.300,0.275
179346,0.263,0.263,0.239,0.331
180129,0.322,0.359,0.268,0.315
180230,0.321,0.347,0.296,0.294
180432,0.273,0.274,0.300,0.278
180533,0.280,0.271,0.297,0.303
180735,0.364,0.346,0.288,0.275
180836,0.214,0.262,0.328,0.318
180937,0.258,0.228,0.244,0.279
181131,0.421,0.360,0.357,0.358
181232,0.233,0.283,0.247,0.318
181636,0.376,0.337,0.415,0.342
182032,0.247,0.248,0.363,0.268
182436,0.376,0.410,0.369,0.496
183034,0.306,0.253,0.303,0.309
185038,0.321,0.388,0.353,0.254
185341,0.308,0.280,0.259,0.303
185442,0.242,0.276,0.281,0.225
185846,0.266,0.223,0.246,0.229
185947,0.348,0.322,0.400,0.410
186040,0.351,0.328,0.275,0.239
186141,0.261,0.268,0.300,0.282
186444,0.265,0.257,0.261,0.266
186545,0.282,0.282,0.346,0.290
186848,0.270,0.284,0.244,0.356
187143,0.361,0.278,0.455,0.438
