,cross_validated_window_length
sub-A00066319,83.0
sub-A00066735,95.0
sub-A00066781,77.0
sub-A00066812,101.0
sub-A00066822,105.0
sub-A00066827,65.0
sub-A00066926,59.0
sub-A00072203,99.0
sub-A00073600,113.0
sub-A00073975,55.0
sub-A00074000,55.0
sub-A00074425,77.0
sub-A00074609,55.0
sub-A00074780,57.0
sub-A00075156,113.0
sub-A00075412,117.0
sub-A00075721,73.0
sub-A00075896,69.0
sub-A00075964,77.0
sub-A00077109,119.0
sub-A00077182,49.0
sub-A00077204,53.0
sub-A00077637,73.0
sub-A00077733,51.0
sub-A00077734,87.0
sub-A00077758,73.0
sub-A00078238,103.0
sub-A00079353,79.0
sub-A00079747,101.0
sub-A00079907,67.0
sub-A00080447,59.0
sub-A00080452,99.0
sub-A00080453,119.0
sub-A00081112,77.0
sub-A00081938,41.0
sub-A00082554,55.0
