,scan_0,scan_1,scan_2,scan_3
438,14,18,0,12
439,16,6,2,8
440,21,17,0,21
441,12,21,20,4
442,0,9,0,0
443,0,0,0,0
444,16,12,4,8
445,24,17,17,9
446,18,19,8,5
447,23,13,10,16
448,3,5,22,6
449,12,8,8,19
450,2,10,18,22
451,11,28,21,22
452,9,7,3,3
453,3,6,0,0
454,2,9,8,4
455,9,10,19,21
456,0,2,5,0
457,4,0,0,0
458,19,19,17,11
459,17,10,13,3
460,7,4,0,19
461,30,4,14,8
462,29,10,0,0
463,8,20,5,11
464,19,4,20,8
465,8,17,13,18
466,7,4,9,15
467,16,6,0,0
468,0,0,18,2
469,0,0,2,0
470,11,15,15,16
471,15,13,17,2
472,16,2,27,8
473,16,33,8,9
474,7,16,10,16
475,23,15,25,10
476,11,6,0,8
477,10,27,29,10
478,20,17,17,28
479,12,25,16,0
480,25,17,16,15
481,11,4,7,14
482,12,23,31,6
483,14,2,8,14
484,14,17,31,5
485,9,0,0,6
486,14,4,4,9
487,0,7,22,17
488,27,3,5,10
489,16,12,1,0
490,13,27,7,9
491,34,0,21,24
492,0,4,0,0
493,16,11,1,0
494,4,4,0,12
495,20,17,12,22
496,5,17,6,2
497,8,5,12,16
498,0,0,3,0
499,23,10,15,2
500,0,0,0,0
501,0,0,0,13
502,5,23,0,4
503,10,14,30,11
504,23,18,14,2
505,4,0,14,10
506,4,3,0,2
507,11,23,6,32
508,0,0,6,0
509,7,24,15,20
510,8,12,10,21
511,9,6,13,5
512,4,0,0,2
513,0,0,0,0
514,11,33,7,15
515,0,0,15,16
516,11,3,15,12
517,11,3,6,0
518,18,13,8,17
519,9,12,6,12
520,24,14,14,2
521,2,0,0,0
522,7,4,2,2
523,5,5,20,2
524,19,6,17,9
525,11,0,8,21
526,13,28,6,0
527,15,15,4,12
528,22,4,2,12
529,0,0,0,0
530,10,16,4,0
531,4,3,0,0
532,2,2,0,16
533,8,14,21,13
534,8,19,21,11
535,19,17,10,20
536,22,17,17,20
537,15,0,4,9
538,2,7,2,4
539,11,0,8,20
540,15,10,7,1
541,19,24,24,21
542,12,10,8,21
543,16,4,11,6
544,0,2,12,3
545,7,24,12,37
546,9,6,7,14
547,7,8,5,5
548,19,1,10,12
549,10,6,2,0
550,6,8,19,11
551,9,18,20,22
552,16,4,5,2
553,3,0,6,4
554,1,7,11,13
555,25,12,1,8
556,22,8,22,18
557,8,16,27,15
558,4,0,24,16
559,29,19,17,13
560,0,13,0,0
561,8,22,10,15
562,13,3,16,9
563,12,11,0,0
564,13,16,12,16
565,2,0,12,5
566,7,10,8,14
567,8,7,0,0
568,12,12,9,13
569,0,2,16,0
570,15,12,27,10
571,25,29,18,17
572,0,0,4,0
573,5,13,6,13
574,6,17,10,11
575,16,21,15,11
576,4,0,0,8
577,13,12,3,12
578,9,10,10,3
579,0,0,0,0
580,10,14,13,22
581,5,2,4,4
582,11,21,18,2
583,14,14,13,13
584,0,0,0,20
585,13,12,19,15
586,29,15,21,2
587,0,0,0,9
588,0,0,10,0
589,13,20,21,0
590,20,10,12,8
591,32,19,19,9
592,0,2,0,0
593,0,0,0,0
594,0,0,9,22
595,0,0,6,6
596,11,0,11,0
597,2,0,0,0
598,12,6,12,7
599,8,9,19,4
600,18,40,5,4
601,14,16,0,2
602,14,17,24,26
603,24,11,3,20
604,0,0,0,0
605,2,0,0,9
606,12,10,20,5
607,18,9,30,19
608,10,0,8,10
609,0,31,17,3
610,9,14,10,26
611,10,22,6,4
612,2,11,8,8
613,12,9,16,0
614,29,3,3,35
615,4,12,22,15
616,19,0,16,6
617,0,0,2,0
618,11,5,13,15
619,6,12,9,0
620,2,0,5,12
621,0,2,10,13
622,14,17,18,5
623,23,7,0,10
624,10,8,7,8
625,14,8,16,28
626,3,0,12,8
627,33,14,15,27
628,11,23,5,12
629,20,9,5,7
630,0,0,0,6
631,23,0,2,0
632,0,0,4,0
633,6,15,7,12
634,10,7,0,0
635,0,0,2,0
636,0,0,0,0
637,2,0,4,12
638,4,6,10,0
639,10,0,20,16
640,10,15,7,12
641,13,19,21,18
642,3,6,7,9
643,15,18,25,12
644,19,4,28,0
645,25,16,15,13
646,7,0,13,4
647,0,4,0,0
648,19,25,11,6
649,0,0,0,0
650,31,14,10,17
651,2,24,18,10
652,16,1,11,11
653,6,13,0,10
654,13,15,20,24
655,31,38,16,6
656,0,2,2,0
657,4,4,0,0
658,2,3,4,0
659,2,0,2,12
660,0,6,0,0
661,0,0,0,0
662,23,7,13,5
663,18,15,8,11
664,0,0,2,11
665,17,11,16,0
666,2,4,28,13
667,6,9,3,17
668,10,2,24,10
669,15,12,8,8
670,11,12,12,14
671,0,0,18,7
672,6,5,7,3
673,15,0,0,4
674,0,0,0,0
