,kernel_lengthscales
sub-A00039218,0.130
sub-A00039431,0.121
sub-A00039463,0.927
sub-A00039488,0.165
sub-A00039636,0.250
sub-A00039686,0.181
sub-A00039755,0.256
sub-A00039819,0.251
sub-A00040151,0.200
sub-A00040193,0.318
sub-A00040226,0.229
sub-A00040301,0.581
sub-A00040524,0.310
sub-A00040543,0.154
sub-A00040573,0.426
sub-A00040623,0.391
sub-A00040628,0.242
sub-A00040640,0.314
sub-A00040740,0.196
sub-A00040827,0.190
sub-A00040890,0.458
sub-A00040915,0.550
sub-A00040944,0.423
sub-A00043299,0.256
sub-A00043384,1.591
sub-A00043462,0.161
sub-A00043466,0.130
sub-A00043509,0.217
sub-A00043520,0.323
sub-A00043649,0.210
sub-A00043677,0.327
sub-A00043704,0.141
sub-A00043722,0.319
sub-A00043998,0.175
sub-A00044012,0.224
sub-A00044130,0.280
sub-A00044131,0.351
sub-A00044291,0.149
sub-A00044307,0.133
sub-A00045590,0.148
sub-A00050795,0.207
sub-A00050940,0.156
sub-A00051063,0.542
sub-A00051064,0.231
sub-A00051477,0.286
sub-A00051514,0.298
sub-A00051539,0.192
sub-A00051603,0.242
sub-A00051638,0.335
sub-A00051658,0.334
sub-A00051679,0.334
sub-A00051726,0.434
sub-A00051774,0.193
sub-A00052125,0.199
sub-A00052126,0.249
sub-A00052197,0.354
sub-A00052235,1.138
sub-A00052307,0.121
sub-A00052340,0.464
sub-A00052500,0.207
sub-A00052502,0.227
sub-A00053473,0.267
sub-A00053474,0.198
sub-A00053475,0.430
sub-A00053546,0.187
sub-A00053576,0.130
sub-A00053577,0.342
sub-A00053578,0.253
sub-A00053850,0.257
sub-A00053851,0.204
sub-A00053854,1.330
sub-A00054019,0.233
sub-A00054173,0.266
sub-A00054441,1.931
sub-A00054504,0.209
sub-A00054532,0.288
sub-A00054533,0.283
sub-A00054534,0.485
sub-A00055121,0.300
sub-A00055215,0.296
sub-A00055373,0.160
sub-A00055446,0.357
sub-A00055542,0.223
sub-A00055738,0.188
sub-A00055806,0.347
sub-A00056097,0.442
sub-A00056098,0.117
sub-A00056627,0.281
sub-A00056898,0.388
sub-A00056919,0.283
sub-A00056949,0.195
sub-A00057005,0.232
sub-A00057035,0.373
sub-A00057182,0.169
sub-A00057183,0.654
sub-A00057203,0.377
sub-A00057235,0.908
sub-A00057372,0.320
sub-A00057406,0.228
sub-A00057444,0.164
sub-A00057786,0.251
sub-A00057808,0.391
sub-A00058214,0.414
sub-A00058515,0.528
sub-A00058621,0.410
sub-A00058667,0.193
sub-A00058999,0.177
sub-A00059074,0.336
sub-A00059428,0.328
sub-A00059527,0.158
sub-A00059756,0.375
sub-A00059911,0.534
sub-A00059990,0.440
sub-A00060006,1.368
sub-A00060093,0.170
sub-A00060169,0.114
sub-A00060259,0.350
sub-A00060279,0.242
sub-A00060302,0.133
sub-A00060372,0.550
sub-A00060471,0.726
sub-A00060480,0.247
sub-A00060516,0.372
sub-A00060576,0.146
sub-A00060581,0.275
sub-A00060582,0.217
sub-A00060628,0.204
sub-A00060629,0.496
sub-A00060630,0.161
sub-A00060632,0.262
sub-A00060662,0.183
sub-A00060773,0.330
sub-A00060848,0.184
sub-A00060925,1.200
sub-A00061284,0.438
sub-A00061387,1.555
sub-A00061598,0.173
sub-A00061727,0.307
sub-A00061881,0.181
sub-A00061882,0.528
sub-A00062248,0.473
sub-A00062288,0.181
sub-A00062351,0.360
sub-A00062411,0.204
sub-A00062917,0.230
sub-A00062934,0.250
sub-A00063103,0.185
sub-A00063326,0.323
sub-A00063368,0.225
sub-A00063450,0.379
sub-A00063589,0.252
sub-A00064580,0.164
sub-A00065197,0.199
sub-A00065574,0.140
sub-A00065617,0.148
sub-A00065790,0.236
sub-A00066087,0.409
sub-A00066091,0.224
sub-A00066153,0.524
sub-A00066232,0.309
sub-A00066236,0.315
sub-A00066246,0.663
sub-A00066319,0.682
sub-A00066735,0.197
sub-A00066781,0.286
sub-A00066812,0.463
sub-A00066822,0.218
sub-A00066827,0.243
sub-A00066926,0.206
sub-A00072203,0.155
sub-A00073600,0.272
sub-A00073975,0.341
sub-A00074000,0.212
sub-A00074425,0.353
sub-A00074609,0.282
sub-A00074780,0.267
sub-A00075156,0.677
sub-A00075412,0.175
sub-A00075721,0.257
sub-A00075896,0.229
sub-A00075964,0.269
sub-A00077109,0.427
sub-A00077182,0.518
sub-A00077204,0.605
sub-A00077637,0.673
sub-A00077733,0.320
sub-A00077734,1.177
sub-A00077758,0.275
sub-A00078238,0.248
sub-A00079353,0.383
sub-A00079747,0.530
sub-A00079907,0.389
sub-A00080447,0.338
sub-A00080452,0.440
sub-A00080453,0.297
sub-A00081112,0.799
sub-A00081938,0.272
sub-A00082554,0.224
