,0,1,2,3
185038,29.0,29.0,29.0,29.0
185341,29.0,29.0,29.0,29.0
185442,29.0,29.0,29.0,29.0
185846,29.0,29.0,29.0,29.0
185947,29.0,29.0,29.0,29.0
186040,29.0,29.0,29.0,29.0
186141,29.0,29.0,29.0,29.0
186444,29.0,29.0,29.0,29.0
186545,29.0,29.0,29.0,29.0
186848,29.0,29.0,29.0,29.0
187143,29.0,29.0,29.0,29.0
187345,29.0,29.0,29.0,29.0
187547,29.0,29.0,29.0,29.0
187850,29.0,29.0,29.0,29.0
188145,29.0,29.0,29.0,29.0
188347,29.0,29.0,29.0,29.0
188448,29.0,29.0,29.0,29.0
188549,29.0,29.0,29.0,29.0
188751,29.0,29.0,29.0,29.0
189349,29.0,29.0,29.0,29.0
189450,29.0,29.0,29.0,29.0
189652,29.0,29.0,29.0,29.0
191033,29.0,29.0,29.0,29.0
191235,29.0,29.0,29.0,29.0
191336,29.0,29.0,29.0,29.0
191841,29.0,29.0,29.0,29.0
191942,29.0,29.0,29.0,29.0
192035,29.0,29.0,29.0,29.0
192136,29.0,29.0,29.0,29.0
192237,29.0,29.0,29.0,29.0
192641,29.0,29.0,29.0,29.0
192843,29.0,29.0,29.0,29.0
193845,29.0,29.0,29.0,29.0
194443,29.0,29.0,29.0,29.0
194645,29.0,29.0,249.0,29.0
194746,29.0,29.0,29.0,29.0
194847,29.0,29.0,29.0,29.0
195041,29.0,29.0,29.0,29.0
195445,29.0,29.0,29.0,29.0
195849,29.0,29.0,29.0,29.0
195950,29.0,29.0,29.0,29.0
196346,29.0,29.0,29.0,29.0
197348,29.0,29.0,29.0,29.0
198047,29.0,29.0,29.0,29.0
198249,29.0,29.0,29.0,29.0
198350,29.0,29.0,29.0,29.0
198653,29.0,29.0,29.0,29.0
198855,29.0,29.0,29.0,29.0
199352,29.0,29.0,29.0,29.0
199453,29.0,29.0,29.0,29.0
199958,29.0,29.0,29.0,29.0
200008,29.0,29.0,29.0,29.0
200109,29.0,29.0,29.0,29.0
200311,29.0,29.0,29.0,29.0
200513,29.0,29.0,29.0,29.0
200917,29.0,29.0,29.0,29.0
201414,29.0,29.0,29.0,29.0
201515,29.0,29.0,29.0,29.0
201818,29.0,29.0,29.0,29.0
202113,29.0,29.0,29.0,29.0
202719,29.0,29.0,29.0,29.0
203418,29.0,29.0,29.0,29.0
203923,29.0,29.0,29.0,29.0
204016,29.0,29.0,29.0,29.0
204218,29.0,29.0,29.0,29.0
204319,29.0,29.0,29.0,29.0
204420,29.0,29.0,29.0,29.0
204521,29.0,29.0,29.0,29.0
204622,29.0,29.0,29.0,29.0
205220,29.0,29.0,29.0,29.0
206222,29.0,29.0,29.0,29.0
206323,29.0,29.0,29.0,29.0
206525,29.0,29.0,29.0,29.0
206727,29.0,29.0,29.0,29.0
206828,29.0,29.0,29.0,29.0
206929,29.0,29.0,29.0,29.0
207123,29.0,29.0,29.0,29.0
207426,29.0,29.0,29.0,29.0
208024,29.0,29.0,29.0,29.0
208125,29.0,29.0,29.0,29.0
208327,29.0,29.0,29.0,29.0
208630,29.0,29.0,29.0,29.0
209127,29.0,29.0,29.0,29.0
209228,29.0,29.0,29.0,29.0
209329,29.0,29.0,29.0,29.0
209834,29.0,29.0,29.0,29.0
210011,29.0,29.0,29.0,29.0
210112,29.0,29.0,29.0,29.0
210415,29.0,29.0,29.0,29.0
211114,29.0,29.0,29.0,29.0
211215,29.0,29.0,29.0,29.0
211316,29.0,29.0,29.0,29.0
211619,29.0,29.0,29.0,29.0
211720,29.0,29.0,29.0,29.0
211821,29.0,29.0,29.0,29.0
211922,29.0,29.0,29.0,29.0
212015,29.0,29.0,29.0,29.0
212116,29.0,29.0,29.0,29.0
212217,29.0,29.0,29.0,29.0
212419,29.0,29.0,29.0,29.0
212823,29.0,29.0,29.0,29.0
213017,29.0,29.0,29.0,29.0
213421,29.0,29.0,29.0,29.0
213522,29.0,29.0,29.0,29.0
214524,29.0,29.0,29.0,29.0
214625,29.0,29.0,29.0,29.0
214726,29.0,29.0,29.0,29.0
217126,235.0,29.0,29.0,29.0
219231,29.0,29.0,29.0,29.0
220721,29.0,29.0,29.0,29.0
223929,29.0,29.0,29.0,29.0
227432,29.0,29.0,29.0,29.0
227533,29.0,29.0,29.0,29.0
228434,29.0,29.0,29.0,29.0
231928,29.0,29.0,29.0,29.0
233326,29.0,29.0,29.0,29.0
236130,29.0,29.0,29.0,29.0
237334,29.0,29.0,29.0,29.0
238033,29.0,29.0,29.0,29.0
239136,29.0,29.0,29.0,29.0
248339,29.0,29.0,29.0,29.0
250932,29.0,29.0,29.0,29.0
255740,29.0,29.0,29.0,29.0
256540,29.0,29.0,29.0,29.0
257542,29.0,29.0,29.0,29.0
257845,29.0,29.0,29.0,29.0
257946,29.0,29.0,29.0,29.0
263436,29.0,29.0,29.0,29.0
268749,29.0,29.0,29.0,29.0
268850,29.0,29.0,29.0,29.0
270332,29.0,29.0,29.0,29.0
274542,29.0,29.0,29.0,29.0
275645,29.0,29.0,29.0,29.0
280739,29.0,29.0,29.0,29.0
280941,29.0,29.0,29.0,29.0
281135,29.0,29.0,29.0,29.0
283543,29.0,29.0,29.0,29.0
285345,29.0,29.0,29.0,29.0
285446,29.0,29.0,29.0,29.0
286347,29.0,29.0,29.0,29.0
286650,29.0,29.0,29.0,29.0
287248,29.0,29.0,29.0,29.0
289555,29.0,29.0,29.0,29.0
290136,29.0,29.0,29.0,29.0
295146,29.0,29.0,29.0,29.0
297655,29.0,29.0,29.0,29.0
298455,29.0,29.0,29.0,29.0
299154,29.0,29.0,29.0,29.0
299760,29.0,29.0,29.0,29.0
300618,29.0,29.0,29.0,29.0
300719,29.0,29.0,29.0,29.0
303119,29.0,29.0,29.0,29.0
303624,29.0,29.0,29.0,29.0
304727,29.0,29.0,29.0,29.0
305830,29.0,29.0,29.0,29.0
308129,29.0,29.0,29.0,29.0
308331,29.0,29.0,29.0,29.0
309636,29.0,29.0,29.0,29.0
310621,29.0,29.0,29.0,29.0
311320,29.0,29.0,29.0,29.0
314225,29.0,29.0,29.0,29.0
316633,29.0,29.0,29.0,29.0
316835,29.0,29.0,29.0,29.0
318637,29.0,29.0,29.0,29.0
320826,29.0,29.0,29.0,29.0
321323,29.0,29.0,29.0,29.0
322224,29.0,29.0,29.0,29.0
325129,29.0,29.0,29.0,29.0
329844,29.0,29.0,29.0,29.0
330324,29.0,29.0,29.0,29.0
333330,29.0,29.0,29.0,29.0
334635,29.0,29.0,29.0,29.0
336841,29.0,29.0,29.0,29.0
339847,29.0,29.0,29.0,29.0
341834,29.0,29.0,29.0,29.0
342129,29.0,29.0,29.0,29.0
346137,29.0,29.0,29.0,29.0
346945,29.0,29.0,29.0,29.0
348545,29.0,29.0,29.0,29.0
349244,29.0,29.0,29.0,29.0
350330,29.0,29.0,29.0,29.0
352132,29.0,29.0,29.0,29.0
352738,29.0,29.0,29.0,29.0
353740,29.0,29.0,29.0,29.0
356948,29.0,29.0,29.0,29.0
358144,29.0,29.0,29.0,29.0
360030,29.0,29.0,29.0,29.0
361234,29.0,29.0,29.0,29.0
361941,29.0,29.0,29.0,29.0
365343,29.0,29.0,29.0,29.0
366042,29.0,29.0,29.0,29.0
368551,29.0,29.0,29.0,29.0
368753,29.0,29.0,29.0,29.0
376247,29.0,29.0,29.0,29.0
377451,29.0,29.0,29.0,29.0
378756,29.0,29.0,29.0,29.0
378857,29.0,29.0,29.0,29.0
379657,29.0,29.0,29.0,29.0
380036,29.0,29.0,29.0,29.0
381038,29.0,29.0,29.0,29.0
381543,29.0,29.0,29.0,29.0
382242,29.0,29.0,29.0,29.0
385046,29.0,29.0,29.0,29.0
385450,29.0,29.0,29.0,29.0
386250,29.0,29.0,29.0,29.0
387959,29.0,29.0,29.0,29.0
389357,29.0,29.0,29.0,29.0
391748,29.0,29.0,249.0,29.0
392447,29.0,29.0,29.0,29.0
392750,29.0,29.0,29.0,29.0
393247,29.0,29.0,29.0,29.0
393550,29.0,29.0,29.0,29.0
394956,29.0,29.0,29.0,29.0
395251,29.0,29.0,29.0,29.0
395756,29.0,29.0,29.0,29.0
395958,29.0,29.0,29.0,29.0
397154,29.0,29.0,29.0,29.0
397861,29.0,29.0,29.0,29.0
401422,29.0,29.0,29.0,29.0
406432,29.0,29.0,29.0,29.0
406836,29.0,29.0,29.0,29.0
412528,29.0,29.0,29.0,29.0
413934,29.0,29.0,29.0,29.0
415837,29.0,29.0,29.0,29.0
419239,29.0,29.0,29.0,29.0
421226,29.0,29.0,29.0,29.0
422632,29.0,29.0,29.0,29.0
424939,29.0,29.0,29.0,29.0
432332,29.0,29.0,29.0,29.0
433839,29.0,29.0,29.0,29.0
436239,29.0,29.0,29.0,29.0
436845,29.0,29.0,29.0,29.0
441939,29.0,29.0,29.0,29.0
445543,29.0,29.0,29.0,29.0
449753,29.0,29.0,29.0,29.0
453441,29.0,29.0,29.0,29.0
453542,29.0,29.0,29.0,29.0
454140,29.0,29.0,29.0,29.0
456346,29.0,29.0,29.0,29.0
459453,29.0,29.0,29.0,29.0
461743,29.0,29.0,29.0,29.0
463040,29.0,29.0,29.0,29.0
465852,29.0,29.0,29.0,29.0
467351,29.0,29.0,29.0,29.0
468050,29.0,29.0,29.0,29.0
469961,29.0,29.0,29.0,29.0
475855,29.0,29.0,29.0,29.0
479762,29.0,29.0,29.0,29.0
480141,29.0,29.0,29.0,29.0
481042,29.0,29.0,29.0,29.0
481951,29.0,29.0,29.0,29.0
486759,29.0,29.0,29.0,29.0
495255,29.0,29.0,29.0,29.0
497865,29.0,29.0,29.0,29.0
500222,29.0,29.0,29.0,29.0
506234,29.0,29.0,29.0,29.0
510225,29.0,29.0,29.0,29.0
510326,29.0,29.0,29.0,29.0
512835,29.0,29.0,29.0,29.0
513130,29.0,29.0,29.0,29.0
513736,29.0,29.0,29.0,29.0
516742,29.0,29.0,29.0,29.0
517239,29.0,29.0,29.0,29.0
518746,29.0,29.0,29.0,29.0
519647,29.0,29.0,29.0,29.0
519950,29.0,29.0,29.0,29.0
520228,29.0,29.0,29.0,29.0
522434,29.0,29.0,29.0,29.0
523032,29.0,29.0,29.0,29.0
524135,29.0,29.0,29.0,29.0
525541,29.0,29.0,29.0,29.0
529549,29.0,29.0,29.0,29.0
529953,29.0,29.0,29.0,29.0
531536,29.0,29.0,29.0,29.0
531940,29.0,29.0,29.0,29.0
536647,29.0,29.0,29.0,29.0
540436,29.0,29.0,29.0,29.0
541640,29.0,29.0,29.0,29.0
545345,29.0,29.0,29.0,29.0
547046,29.0,29.0,29.0,29.0
548250,29.0,29.0,29.0,29.0
552241,29.0,29.0,29.0,29.0
553344,29.0,29.0,29.0,29.0
555348,29.0,29.0,29.0,29.0
555651,29.0,29.0,29.0,29.0
555954,29.0,29.0,29.0,29.0
557857,29.0,29.0,29.0,29.0
558657,29.0,29.0,29.0,29.0
558960,29.0,29.0,29.0,29.0
559457,29.0,29.0,29.0,29.0
561444,29.0,29.0,29.0,29.0
561949,29.0,29.0,29.0,29.0
562345,29.0,29.0,29.0,29.0
562446,29.0,29.0,29.0,29.0
565452,29.0,29.0,29.0,29.0
566454,29.0,29.0,29.0,29.0
567052,29.0,29.0,29.0,29.0
567759,29.0,29.0,29.0,29.0
567961,29.0,29.0,29.0,29.0
568963,29.0,29.0,29.0,29.0
571144,29.0,29.0,29.0,29.0
572045,29.0,29.0,29.0,29.0
573249,29.0,29.0,29.0,29.0
573451,29.0,29.0,29.0,29.0
576255,29.0,29.0,29.0,29.0
578057,29.0,29.0,29.0,29.0
579867,29.0,29.0,29.0,29.0
580044,29.0,29.0,29.0,29.0
580347,29.0,29.0,29.0,29.0
580650,29.0,29.0,29.0,29.0
