,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
99,-2.946216394054052,-2.579378440115869,-2.720139847839798,-2.7202713349955205,-2.672482106221258,-2.7465562175833997,-2.5746336025623737,-2.750508597681405
100,-2.9172573009047564,-2.5731769502065847,-2.7053952369984313,-2.701459091117057,-2.77305501658454,-2.7879942016874044,-2.5714247506654417,-2.8144482439488985
101,-2.8059184098807237,-2.6095105151089104,-2.683850763292288,-2.7112014677816694,-2.8737128033638384,-2.7655589225489705,-2.7184831584170865,-2.8354233080026643
102,-2.933360912123304,-2.5411694068606465,-2.664437981840647,-2.6762663604786336,-2.713777599930452,-2.9727259586386405,-2.58909779141829,-2.747281696829253
103,-2.8781797244826897,-2.554735193946961,-2.6264504240011184,-2.8358395090294404,-2.6588711146854904,-2.7592224425018568,-2.5035098508345635,-2.939164157631355
104,-2.8708605275154833,-2.5575442040629803,-2.6975696991922966,-2.676639676674453,-2.8371060706142712,-2.8075370240250392,-2.6458510978171965,-2.769237898984832
105,-2.8510089094214517,-2.6115001132595337,-2.659870773256445,-2.783068769595684,-2.699716072601151,-2.883154268722186,-2.607510913861371,-2.796361309394359
106,-2.798742562465413,-2.570234775879643,-2.683977210769872,-2.686511065620542,-2.691505515983469,-2.8163016021784233,-2.5403194845534665,-2.6831013359176517
107,-2.996321686577794,-2.5780652252811067,-2.753980525850792,-2.668664200295099,-2.6715699222257117,-2.768776093170243,-2.6481284592073586,-2.7648612977050018
108,-2.9481363807384144,-2.5233149335446847,-2.6911980222243637,-2.683681191849321,-2.651448350825218,-2.8114395973111983,-2.57500809471705,-2.7351071050170503
109,-2.8205314495331106,-2.658835706988408,-2.7601733939685134,-2.625840771423236,-2.8275504458416436,-2.8528815350160244,-2.641956664322953,-2.7389159997637207
110,-2.892656568509555,-2.5781260131031893,-2.585375660892304,-2.7032033422698567,-2.7648096096818273,-2.76930635453764,-2.5532219947517714,-2.72002720043689
111,-2.842678226141026,-2.60179754255214,-2.661713727380412,-2.7405891451035758,-2.663916423056772,-2.733065826948748,-2.568901513485908,-2.802377597641749
112,-2.817209927998346,-2.6565257477869646,-2.721477345846874,-2.7616505786278847,-2.717560972716635,-2.8305214023262595,-2.5877075042557736,-2.7456262443859765
113,-2.8790871821942754,-2.5656172737129777,-2.6474997517942582,-2.619415439853666,-2.7974494597165416,-2.798551488210015,-2.640805084280173,-2.780982101979447
