,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
26,-2.9175123490117976,-2.656735981602621,-2.656247487553703,-2.767505581397696,-2.707537045944453,-2.866496887580931,-2.795552122591455,-2.778135163092123
27,-3.059093682081192,-2.692565543369384,-2.7951011287427163,-2.964647034802597,-2.7344723220729095,-2.960283764001797,-2.774994592755163,-2.9277717410834354
28,-2.9766046729288296,-2.7875697407804605,-2.6076486364330003,-2.734623254363907,-2.838677302945354,-2.7863233155197866,-2.6349337456852053,-2.835385188201319
29,-2.971702441459207,-2.707896408920302,-2.6325087527186564,-2.6944476307536327,-2.727763571756749,-2.8255613577496854,-2.7180892487486914,-2.8398120824516955
30,-2.8832447536376384,-2.656323701682563,-2.8085818185367977,-2.67656799605978,-2.807265094594209,-2.858287926853225,-2.523109215044789,-2.7937560513225788
31,-2.8641503222300018,-2.7889958326083963,-2.8372697559541162,-2.9567107031557667,-2.9165814458488137,-2.801295803528345,-2.5188125357170223,-2.7950937694097293
32,-2.8393476961743658,-2.6625888796976915,-2.8405311098606036,-2.675624840641629,-2.750531577974481,-2.7331401743551953,-2.4977743309374487,-2.8618838104684494
33,-2.9243025104399076,-2.7906935953220557,-2.6986091832706633,-2.728117264124519,-2.8462221877600338,-2.9272726712365023,-2.6250388672115132,-2.7797546782998164
34,-2.837940337311384,-2.6570417900159504,-2.83730371449838,-2.6958877198067612,-2.673168976590091,-2.8080665894216037,-2.626341976315538,-2.771481013183423
35,-2.913140405433316,-2.6458571058713325,-2.728688465734426,-2.605089108580789,-2.6603799128769303,-2.9732177726991216,-2.636773217637234,-2.9806880436578798
36,-2.930349574603895,-2.619607071438121,-2.6841807111661944,-2.610997080739279,-2.7938787417059956,-2.8552847539950688,-2.6757068635596215,-2.9150224911287625
37,-2.8929686285553147,-2.621057575582463,-2.8342537502171385,-2.7008894549457922,-2.739322008792355,-3.0160600894057508,-2.562504235602942,-2.7892578408937667
38,-2.9357906780371663,-2.7532764479476577,-2.8050140667732517,-2.587213859725456,-2.817964807054378,-2.9295167464716587,-2.5201251459677363,-2.8010134916279608
39,-2.868386900672506,-2.69378095075982,-2.6242954865389505,-2.71498301258767,-2.8164016982271223,-2.94457939828128,-2.5852212618365353,-2.9525523058330054
40,-2.996924340720001,-2.7732043320438104,-2.776168142228018,-2.651273514490003,-2.721078726170798,-2.8801284386746073,-2.5404882332267875,-2.7362581918543305
41,-2.8622171736020836,-2.614927065906665,-2.5774103526516203,-2.700433713904165,-2.7384936510561055,-2.9951429043017113,-2.654376421594395,-2.876473338456142
42,-3.038615865179701,-2.782907983446462,-2.7301070143675883,-2.902781976307364,-2.7591972904427995,-2.944018697227143,-2.544384071624262,-2.843473039975147
43,-2.8977010102194627,-2.6205587576230243,-2.6875782573147284,-2.6798199791042485,-2.8203603761924114,-2.961694186919309,-2.590575017870995,-2.772022294123275
44,-3.0531590756060107,-2.5715558933935347,-2.5901988726048484,-2.7906145311419754,-2.8570829732847205,-3.075087148249371,-2.6985124988002567,-2.8841431433306766
45,-3.0694423196524827,-2.5895467954920606,-2.721725949318149,-2.901337761526215,-2.794878418154545,-2.8117934652055485,-2.675026447270717,-2.8891968410760183
46,-2.852508941427966,-2.5722318389451364,-2.6934414959266864,-2.7845723133152274,-2.7470210358803953,-2.9301269719314518,-2.591553871714479,-2.8404712556707556
47,-2.9963267154648436,-2.5815837803129615,-2.6908710083964213,-2.820854224229831,-2.768943530740675,-3.2007445015007785,-2.7252593122441544,-2.771478812600644
48,-2.825972877096879,-2.6458586915844626,-2.6167047533055436,-2.900327346638429,-2.796183168034107,-2.9567683112461554,-2.6040763708942394,-2.826773344790307
49,-2.9213759288275156,-2.5647447513162667,-2.644266978877937,-3.005410259890192,-2.901061004369759,-2.7839794869636347,-2.564638742124815,-2.9390414662832023
