,0,1,2
642,1.00,,
643,1.00,,
644,0.94,0.06,
645,1.00,,
646,1.00,,
647,1.00,,
648,1.00,,
649,1.00,,
650,1.00,0.00,
651,1.00,,
652,1.00,,
653,1.00,,
654,1.00,,
655,1.00,,
656,1.00,,
657,1.00,,
658,1.00,,
659,1.00,,
660,1.00,,
661,1.00,,
662,1.00,,
663,0.97,0.03,
664,1.00,,
665,0.72,0.28,
666,1.00,,
667,1.00,,
668,1.00,,
669,0.99,0.01,
670,1.00,,
671,1.00,,
672,1.00,,
673,1.00,,
674,1.00,,
675,1.00,,
676,0.98,0.02,
677,1.00,,
678,1.00,,
679,1.00,,
680,0.97,0.03,
681,1.00,,
682,1.00,,
683,1.00,,
684,1.00,,
685,1.00,,
686,1.00,0.00,
687,1.00,,
688,1.00,0.00,0.00
689,1.00,,
690,1.00,,
691,0.99,0.01,
692,1.00,,
693,0.76,0.24,
694,1.00,,
695,1.00,,
696,1.00,,
697,1.00,,
698,0.83,0.17,
699,1.00,,
700,1.00,,
701,1.00,0.00,
702,1.00,,
703,1.00,,
704,1.00,,
705,1.00,,
706,1.00,,
707,0.75,0.25,
708,1.00,,
709,1.00,,
710,0.91,0.09,
711,1.00,,
712,0.70,0.30,
713,1.00,,
714,0.74,0.26,
715,0.73,0.27,
716,0.74,0.26,
717,1.00,,
718,0.79,0.21,0.00
719,1.00,,
720,1.00,0.00,
721,1.00,,
722,1.00,0.00,
723,1.00,,
724,1.00,,
725,1.00,,
726,1.00,,
727,0.99,0.01,
728,0.74,0.26,
729,1.00,,
730,1.00,,
731,1.00,,
732,1.00,,
733,1.00,,
734,1.00,,
735,1.00,,
736,1.00,,
737,1.00,,
738,1.00,,
739,1.00,,
740,1.00,,
741,1.00,,
742,1.00,,
743,1.00,,
744,1.00,0.00,
745,1.00,,
746,0.98,0.02,
747,1.00,,
748,1.00,0.00,
749,0.77,0.23,
750,0.95,0.05,
751,1.00,,
752,1.00,,
753,0.98,0.02,
754,1.00,,
755,1.00,,
756,0.88,0.12,
757,1.00,,
758,1.00,,
759,1.00,,
760,1.00,,
761,1.00,,
762,1.00,,
763,1.00,,
764,1.00,,
765,0.99,0.01,
766,1.00,,
767,1.00,,
768,1.00,,
769,1.00,,
770,1.00,,
771,0.42,0.58,
772,0.81,0.19,
773,1.00,,
774,0.55,0.45,
775,1.00,,
776,1.00,,
777,0.59,0.41,
778,1.00,,
779,1.00,0.00,
780,1.00,,
781,1.00,,
782,1.00,,
783,0.98,0.02,
784,1.00,,
785,1.00,,
786,1.00,,
787,1.00,,
788,0.85,0.15,
789,0.94,0.06,
790,1.00,,
791,0.99,0.01,
792,1.00,,
793,1.00,,
794,1.00,0.00,
795,1.00,,
796,1.00,0.00,
797,0.95,0.04,
798,0.88,0.12,
799,1.00,,
800,1.00,,
801,1.00,,
802,1.00,,
803,1.00,,
804,1.00,,
805,0.48,0.52,
806,1.00,0.00,
807,1.00,,
808,1.00,0.00,
809,1.00,,
810,0.97,0.03,
811,1.00,,
