,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
170,1.374,1.692,0.494,0.311,0.223,1.066,0.417,1.901
171,1.528,2.429,0.586,0.217,0.221,1.175,0.373,1.238
172,1.453,2.537,0.667,0.278,0.173,0.123,0.327,0.592
173,1.435,2.668,0.495,0.260,0.268,1.943,0.394,2.057
174,1.276,2.011,0.304,0.298,0.253,1.190,0.445,1.905
175,1.393,2.205,0.676,0.288,0.140,1.605,0.401,1.257
176,0.995,1.908,0.354,0.342,0.228,0.571,0.346,1.295
177,1.247,2.324,0.429,0.191,0.145,0.843,0.224,1.574
178,1.289,2.612,0.708,0.406,0.260,1.169,0.346,1.783
179,1.476,2.164,0.797,0.308,0.256,0.238,0.396,1.653
180,1.535,1.304,0.331,0.283,0.197,0.203,0.272,1.818
181,1.066,2.264,0.623,0.257,0.245,0.645,0.379,1.407
182,1.259,2.735,0.449,0.274,0.250,0.479,0.365,1.496
183,1.161,2.583,0.555,0.276,0.259,0.284,0.401,1.339
184,1.521,2.201,0.689,0.263,0.191,0.958,0.385,1.692
185,0.904,1.787,0.619,0.230,0.154,1.025,0.411,1.260
186,1.800,2.310,0.583,0.298,0.187,0.722,0.296,2.051
187,1.848,2.211,0.488,0.273,0.240,1.787,0.437,1.848
188,0.919,2.794,0.753,0.275,0.258,0.871,0.308,0.416
189,1.074,2.140,0.645,0.211,0.189,0.288,0.388,1.940
190,1.707,2.147,0.498,0.369,0.231,1.482,0.303,1.006
191,1.449,1.788,0.385,0.220,0.255,0.858,0.325,1.626
192,1.187,2.367,0.470,0.330,0.245,0.504,0.269,1.686
193,1.225,2.093,0.686,0.367,0.287,1.096,0.332,1.335
194,1.227,2.551,0.487,0.342,0.241,0.840,0.415,0.967
195,1.239,1.997,0.475,0.326,0.268,1.087,0.319,1.983
196,1.165,2.252,0.808,0.335,0.266,0.974,0.258,2.062
197,1.612,2.682,0.483,0.152,0.226,0.884,0.348,1.438
198,1.055,1.739,0.485,0.300,0.297,1.073,0.312,1.776
199,1.255,2.262,0.547,0.237,0.242,1.965,0.526,1.085
