,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
139,0.853,0.801,0.879,0.770,0.890,0.817,0.817,1.140,0.872,0.914,1.085
140,0.826,0.916,0.928,1.092,0.873,0.817,0.817,0.959,0.905,1.012,1.085
141,0.849,0.993,0.867,0.780,0.927,0.817,0.817,0.908,0.928,0.782,1.085
142,0.890,0.828,1.092,1.122,1.137,0.817,0.817,0.867,0.837,0.934,1.085
143,0.850,0.896,0.902,1.342,1.132,0.817,0.817,0.922,0.982,0.907,1.085
144,0.877,0.870,0.999,0.810,1.036,0.817,0.817,0.916,0.929,0.898,1.085
145,0.854,0.848,1.078,0.992,0.852,0.817,0.817,0.932,0.897,0.885,1.085
146,0.891,0.842,0.897,1.050,0.933,0.817,0.817,0.902,0.925,0.854,1.085
147,0.856,0.847,0.933,0.886,0.915,0.817,0.817,0.884,0.974,0.923,1.085
148,0.901,0.979,0.823,0.898,1.016,0.817,0.817,0.880,0.882,0.900,1.085
149,0.857,1.016,1.017,0.828,1.352,0.817,0.817,0.895,1.066,0.849,1.085
150,0.936,1.070,1.194,0.852,0.903,0.817,0.817,0.840,1.122,0.859,1.085
151,0.970,0.888,0.942,1.011,0.921,0.817,0.817,0.940,1.096,0.886,1.085
152,0.834,0.819,0.920,0.905,0.808,0.817,0.817,0.902,0.899,0.892,1.085
153,0.894,0.892,0.807,0.969,0.995,0.817,0.817,0.885,0.877,0.910,1.085
154,0.851,0.896,0.885,0.804,1.350,0.817,0.817,1.058,0.946,0.976,1.085
155,0.871,0.816,0.884,0.876,1.184,0.817,0.817,0.931,0.906,0.865,1.085
156,0.934,1.043,1.001,0.903,0.978,0.817,0.817,0.848,0.961,0.917,1.085
157,0.880,0.923,0.859,0.798,1.004,0.817,0.817,0.833,0.759,0.909,1.085
158,0.897,0.870,0.885,0.819,0.885,0.817,0.817,0.875,0.952,0.903,1.085
159,0.876,0.904,0.902,0.802,0.921,0.817,0.817,0.913,0.936,0.934,1.085
