,test_likelihoods
sub-A00039636,-19.96
sub-A00039686,-17.22
sub-A00039755,-10.23
sub-A00039819,-28.08
sub-A00040151,-17.14
sub-A00040193,-26.21
sub-A00040226,-14.43
sub-A00040301,-21.15
sub-A00040524,-11.25
sub-A00040543,-18.57
sub-A00040573,-12.29
sub-A00040623,-16.38
sub-A00040628,-19.49
sub-A00040640,-14.42
sub-A00040740,-20.52
sub-A00040827,-14.83
sub-A00040890,-10.64
sub-A00040915,-13.51
sub-A00040944,-8.12
sub-A00043299,-15.22
sub-A00043384,-9.11
sub-A00043462,-36.71
sub-A00043466,-46.77
sub-A00043509,-22.27
sub-A00043520,-17.09
sub-A00043649,-13.55
sub-A00043677,-15.44
sub-A00043704,-15.49
sub-A00043722,-13.90
sub-A00043998,-16.97
sub-A00044012,-16.18
sub-A00044130,-9.67
sub-A00044131,-17.02
sub-A00044291,-13.17
sub-A00044307,-14.23
sub-A00045590,-37.34
sub-A00050795,-17.33
sub-A00050940,-19.18
sub-A00051063,-20.45
sub-A00051064,-15.49
sub-A00051477,-12.36
sub-A00051514,-20.90
sub-A00051539,-25.20
sub-A00051603,-18.00
sub-A00051638,-18.96
sub-A00051658,-17.40
sub-A00051679,-9.34
sub-A00051726,-16.28
sub-A00051774,-10.57
sub-A00052125,-20.51
sub-A00052126,-16.14
sub-A00052197,-27.98
sub-A00052235,-25.72
sub-A00052307,-33.67
sub-A00052340,-15.48
sub-A00052500,-24.80
sub-A00052502,-15.88
sub-A00053473,-18.08
sub-A00053474,-17.07
sub-A00053475,-19.61
sub-A00053546,-18.64
sub-A00053576,-22.11
sub-A00053577,-8.53
sub-A00053578,-13.81
sub-A00053850,-18.73
sub-A00053851,-9.53
sub-A00053854,-6.06
sub-A00054019,-15.12
sub-A00054173,-16.93
sub-A00054441,-10.16
sub-A00054504,-32.24
sub-A00054532,-11.87
sub-A00054533,-27.26
sub-A00054534,-21.06
sub-A00055121,-29.79
sub-A00055215,-12.20
sub-A00055373,-15.04
sub-A00055446,-14.25
sub-A00055542,-21.73
sub-A00055738,-15.70
sub-A00055806,-10.27
sub-A00056097,-27.06
sub-A00056098,-10.48
sub-A00056627,-14.20
sub-A00056898,-11.48
sub-A00056919,-17.98
sub-A00056949,-14.76
sub-A00057005,-23.35
sub-A00057035,-16.68
sub-A00057182,-25.49
sub-A00057183,-13.71
sub-A00057203,-20.48
sub-A00057235,-20.61
sub-A00057372,-13.70
sub-A00057406,-23.88
sub-A00057444,-10.39
sub-A00057786,-10.67
sub-A00057808,-12.80
sub-A00058214,-23.98
sub-A00058515,-18.57
sub-A00058621,-9.88
sub-A00058667,-19.81
sub-A00058999,-16.37
sub-A00059074,-17.40
sub-A00059428,-21.08
sub-A00059527,-19.53
sub-A00059756,-16.84
sub-A00059911,-9.12
sub-A00059990,-13.53
sub-A00060006,-11.30
sub-A00060093,-38.51
sub-A00060169,-27.10
sub-A00060259,-12.62
sub-A00060279,-18.31
sub-A00060302,-15.36
sub-A00060372,-18.81
sub-A00060471,-21.82
sub-A00060480,-25.62
sub-A00060516,-17.20
sub-A00060576,-25.80
sub-A00060581,-18.39
sub-A00060582,-18.03
sub-A00060628,-10.85
sub-A00060629,-16.60
sub-A00060630,-22.12
sub-A00060632,-16.20
sub-A00060662,-20.44
sub-A00060773,-16.19
sub-A00060848,-12.23
sub-A00060925,-8.41
sub-A00061284,-13.61
sub-A00061387,-8.49
sub-A00061598,-13.31
sub-A00061727,-13.34
sub-A00061881,-19.57
sub-A00061882,-13.74
sub-A00062248,-14.54
sub-A00062288,-15.37
sub-A00062351,-16.48
sub-A00062411,-10.11
sub-A00062917,-26.95
sub-A00062934,-13.91
sub-A00063103,-14.39
sub-A00063326,-16.15
sub-A00063368,-21.07
sub-A00063450,-21.27
sub-A00063589,-19.58
sub-A00064580,-10.57
sub-A00065197,-16.52
sub-A00065574,-13.80
sub-A00065617,-20.92
sub-A00065790,-12.86
sub-A00066087,-13.36
sub-A00066091,-17.69
sub-A00066153,-13.85
sub-A00066232,-11.79
sub-A00066236,-10.65
sub-A00066246,-14.35
sub-A00066319,-17.38
sub-A00066735,-17.37
sub-A00066781,-17.00
sub-A00066812,-13.73
sub-A00066822,-29.37
sub-A00066827,-19.90
sub-A00066926,-27.67
sub-A00072203,-22.45
sub-A00073600,-21.03
sub-A00073975,-13.34
sub-A00074000,-21.50
sub-A00074425,-10.76
sub-A00074609,-10.56
sub-A00074780,-23.77
sub-A00075156,-13.53
sub-A00075412,-21.93
sub-A00075721,-10.16
sub-A00075896,-14.67
sub-A00075964,-16.99
sub-A00077109,-15.87
sub-A00077182,-12.10
sub-A00077204,-12.73
sub-A00077637,-16.13
sub-A00077733,-12.85
sub-A00077734,-11.14
sub-A00077758,-17.86
sub-A00078238,-16.15
sub-A00079353,-19.01
sub-A00079747,-9.90
sub-A00079907,-10.67
sub-A00080447,-7.81
sub-A00080452,-12.86
sub-A00080453,-22.25
sub-A00081112,-11.15
sub-A00081938,-14.64
sub-A00082554,-22.23
