,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
188,81,97,43,31,23,45,73
189,89,43,41,29,23,23,55
190,99,73,31,23,27,43,85
191,99,99,41,21,25,79,53
192,55,97,27,29,25,33,99
193,73,61,43,37,21,23,43
194,89,93,35,35,23,25,41
195,93,83,41,23,23,23,97
196,99,79,41,21,21,35,91
197,99,93,33,27,21,21,63
198,83,91,23,21,21,31,51
199,87,87,25,29,23,27,39
